본부 구분,팀 구분,근무형태,Opark 근무기호,팀 근무기호,실제 근무,법정 근로시간,연장 근로시간,소정 근로시간,비고,등록자,등록시간
전사,-,교대근무자,공휴,공휴,휴,0,0.0,0.0,공휴일 교대근무자 휴일,채수민 (SO관제팀),2021-06-23 23:45:05
전사,-,교대근무자,비,비,비,0,0.0,0.0,비번,채수민 (SO관제팀),2021-06-23 23:44:34
전사,-,교대근무자,숙,숙,숙,0,0.0,0.0,숙직 휴무,채수민 (SO관제팀),2021-06-23 23:44:17
전사,-,교대근무자,숙,접2,휴,0,0.0,0.0,접종휴가 2차,채수민 (SO관제팀),2021-08-06 11:48:36
전사,-,교대근무자,야,야,야,8,5.5,0.0,야간 근무,채수민 (SO관제팀),2021-06-23 23:44:02
전사,-,교대근무자,야,접1,휴,0,0.0,0.0,접종휴가 1차,채수민 (SO관제팀),2021-08-06 11:48:12
전사,-,교대근무자,야,접2,휴,0,0.0,0.0,접종휴가 2차,채수민 (SO관제팀),2022-02-09 14:54:39
전사,-,교대근무자,야,접3,휴,0,0.0,0.0,접종휴가 3차,채수민 (SO관제팀),2022-02-09 14:54:47
전사,-,교대근무자,야,접4,휴,0,0.0,0.0,접종휴가 4차,채수민 (SO관제팀),2022-02-09 14:55:01
전사,-,교대근무자,야,접5,휴,0,0.0,0.0,접종휴가 5차,채수민 (SO관제팀),2022-12-05 08:17:50
전사,-,교대근무자,주,접1,휴,0,0.0,0.0,접종휴가 1차,채수민 (SO관제팀),2021-06-30 10:25:55
전사,-,교대근무자,주,접2,휴,0,0.0,0.0,접종휴가 2차,채수민 (SO관제팀),2021-06-30 10:26:15
전사,-,교대근무자,주,접3,휴,0,0.0,0.0,접종휴가 3차,채수민 (SO관제팀),2022-02-09 14:48:54
전사,-,교대근무자,주,접4,휴,0,0.0,0.0,접종휴가 4차,채수민 (SO관제팀),2022-02-09 14:49:02
전사,-,교대근무자,주,접5,휴,0,0.0,0.0,접종휴가 5차,채수민 (SO관제팀),2022-12-05 08:18:01
전사,-,교대근무자,주,주,주,8,0.0,0.0,주간 근무,채수민 (SO관제팀),2021-06-23 23:43:38
전사,-,선택근무제,비,비,비,0,0.0,0.0,주말,채수민 (SO관제팀),2021-06-23 23:36:33
전사,-,선택근무제,주,접1,휴,0,0.0,8.0,접종휴가 1차,채수민 (SO관제팀),2021-06-30 10:26:26
전사,-,선택근무제,주,접2,휴,0,0.0,8.0,접종휴가 2차,채수민 (SO관제팀),2021-06-30 10:26:37
전사,-,선택근무제,주,접3,휴,0,0.0,8.0,접종휴가 3차,채수민 (SO관제팀),2022-02-09 14:49:12
전사,-,선택근무제,주,접4,휴,0,0.0,8.0,접종휴가 4차,채수민 (SO관제팀),2022-02-09 14:49:21
전사,-,선택근무제,주,접5,휴,0,0.0,8.0,접종휴가 5차,채수민 (SO관제팀),2022-12-05 08:18:13
